"latitude"	"longitude"	"width"	"height"	"size"	"quality"	"good"
47	8	604	448	26	9.60856196783349E-005	0
40	-86	604	483	78	0.0002673687	0
39	-76	720	540	99	0.0002546296	0
37	128	540	720	7	1.80041152263374E-005	1
32	35	300	400	32	0.0002666667	0
34	-119	640	480	53	0.000172526	0
37	-122	405	720	64	0.0002194787	0
60	-95	640	480	123	0.0004003906	0
19	-71	604	452	110	0.0004029186	0
34	-118	480	640	17	5.53385416666667E-005	0
-21	56	720	540	11	2.82921810699588E-005	0
39	-96	720	540	96	0.0002469136	0
42	-75	453	604	32	0.0001169539	0
39	-77	604	453	10	3.65481046152946E-005	0
30	-86	604	453	39	0.0001425376	0
34	-118	604	404	58	0.0002376893	0
27	78	604	403	5	2.05413044549981E-005	1
38	-122	720	480	4	1.15740740740741E-005	1
25	83	453	604	16	0.000058477	1
39	-75	604	453	19	6.94413987690598E-005	0
31	121	604	453	15	5.4822156922942E-005	1
39	35	720	540	100	0.0002572016	0
46	2	604	421	24	9.43826587594972E-005	1
4	-72	604	453	23	8.40606406151777E-005	1
45	-123	604	405	67	0.0002738942	0
1	104	604	453	11	4.02029150768241E-005	0
41	-73	431	720	6	1.93348801237432E-005	0
38	-123	604	453	16	0.000058477	0
51	9	350	350	1	8.16326530612245E-006	0
40	-106	720	540	8	2.05761316872428E-005	1
54	-2	453	604	20	7.30962092305893E-005	0
-9	117	404	604	86	0.0003524359	1
36	138	549	390	119	0.0005557891	0
31	-92	720	540	131	0.0003369342	0
32	35	604	453	20	7.30962092305893E-005	0
37	127	453	604	31	0.0001132991	0
15	100	720	540	127	0.0003266461	0
46	-94	453	604	7	2.55836732307063E-005	0
45	-116	589	720	6	1.41482739105829E-005	0
52	5	719	480	29	8.40287436254057E-005	0
35	105	600	450	26	9.62962962962963E-005	1
60	-95	720	479	11	3.18951519369056E-005	0
43	-78	453	604	60	0.0002192886	0
38	-123	604	453	28	0.0001023347	0
42	-71	720	478	2	5.81125058112506E-006	0
34	-118	720	405	12	4.11522633744856E-005	0
35	105	558	339	27	0.0001427348	0
16	-90	540	720	25	6.43004115226337E-005	0
31	36	720	540	46	0.0001183128	1
32	35	720	537	40	0.0001034554	0
-29	24	604	453	3	1.09644313845884E-005	0
-27	133	720	540	9	2.31481481481481E-005	1
-27	133	604	453	60	0.0002192886	1
20	77	604	453	24	8.77154510767072E-005	1
54	-2	427	640	195	0.0007135539	0
48	11	604	453	13	4.7512535999883E-005	1
44	-123	604	453	32	0.0001169539	0
38	-122	604	400	50	0.0002069536	0
48	19	604	453	13	4.7512535999883E-005	1
59	26	720	490	108	0.0003061224	1
41	-74	604	590	33	0.000092603	0
15	100	453	604	20	7.30962092305893E-005	0
10	-84	720	540	12	3.08641975308642E-005	0
37	128	604	405	20	8.17594636579184E-005	1
-17	-65	453	592	24	8.94934669769107E-005	1
38	-122	453	604	36	0.0001315732	0
42	-71	540	720	18	4.62962962962963E-005	0
47	8	604	453	184	0.0006724851	1
41	-75	518	720	13	3.48562848562849E-005	0
32	35	604	402	120	0.0004942177	0
40	-107	360	270	12	0.0001234568	1
39	35	453	604	99	0.0003618262	0
36	15	720	540	171	0.0004398148	0
23	-102	500	357	1	5.60224089635854E-006	0
51	9	604	453	11	4.02029150768241E-005	0
-6	35	604	403	7	2.87578262369973E-005	1
30	-98	720	537	28	7.24187875025864E-005	0
42	-71	540	720	3	0.000007716	1
30	-90	720	540	69	0.0001774691	0
37	-122	453	604	25	9.13702615382366E-005	0
39	-76	604	453	1	3.65481046152947E-006	0
43	-88	540	720	15	3.85802469135802E-005	0
-14	-76	604	453	12	4.38577255383536E-005	1
35	-84	540	720	14	3.60082304526749E-005	0
-21	56	640	480	116	0.0003776042	0
30	-90	720	479	16	4.63929482718627E-005	0
43	-100	720	406	32	0.0001094691	0
35	136	453	604	8	2.92384836922357E-005	1
36	138	453	604	43	0.0001571568	0
26	-80	604	453	5	1.82740523076473E-005	0
28	84	356	433	13	8.43345356410722E-005	0
38	-77	720	537	27	6.98324022346369E-005	0
-27	133	720	480	84	0.0002430556	1
42	-74	720	614	3	6.78610206297503E-006	1
30	-87	540	720	10	2.57201646090535E-005	0
-27	133	604	453	2	7.30962092305893E-006	0
34	-118	720	540	39	0.0001003086	0
38	-120	604	453	26	9.50250719997661E-005	1
35	105	360	270	123	0.0012654321	0
15	19	453	604	66	0.0002412175	0
59	18	521	720	15	3.99872040946897E-005	0
48	-122	604	453	5	1.82740523076473E-005	0
45	-69	604	404	5	2.04904596419907E-005	0
60	-95	604	453	41	0.0001498472	0
3	113	604	453	8	2.92384836922357E-005	0
42	-71	604	453	12	4.38577255383536E-005	0
34	-118	537	720	7	1.81046968756466E-005	0
46	2	604	403	17	6.98404351469936E-005	1
41	2	453	604	57	0.0002083242	1
31	36	480	720	21	6.07638888888889E-005	0
44	-123	604	453	2	7.30962092305893E-006	0
36	-87	720	540	3	0.000007716	0
43	13	604	453	1	3.65481046152947E-006	1
62	15	720	480	25	0.000072338	0
31	-92	720	537	84	0.0002172564	0
34	-112	360	270	15	0.000154321	0
-6	35	604	453	50	0.0001827405	1
35	111	720	479	14	4.05938297378798E-005	0
17	-89	640	480	99	0.0003222656	1
-30	-71	604	453	16	0.000058477	1
17	100	720	540	68	0.0001748971	1
43	-111	537	720	18	4.65549348230912E-005	0
37	-80	604	453	23	8.40606406151777E-005	0
13	105	720	479	82	0.0002377639	1
36	-115	453	604	20	7.30962092305893E-005	0
39	-77	604	453	84	0.0003070041	1
37	-122	604	421	7	2.752827547152E-005	1
34	-117	720	480	95	0.0002748843	1
38	127	402	604	13	5.3540245790913E-005	0
42	-1	604	370	53	0.0002371577	0
-35	-59	480	640	41	0.0001334635	1
12	-62	604	453	50	0.0001827405	0
60	-95	604	453	7	2.55836732307063E-005	0
39	35	604	403	5	2.05413044549981E-005	1
-34	151	618	720	4	8.98957209636821E-006	0
34	-118	480	320	32	0.0002083333	0
40	-122	604	453	17	6.21317778460009E-005	0
-34	151	604	453	132	0.000482435	0
60	100	526	604	3	9.44275174376149E-006	0
39	-77	604	453	90	0.0003289329	0
35	-92	604	453	27	9.86798824612955E-005	0
45	16	604	453	25	9.13702615382366E-005	1
18	-67	363	356	61	0.0004720339	0
1	104	453	604	85	0.0003106589	0
36	140	604	453	19	6.94413987690598E-005	1
36	138	604	453	60	0.0002192886	0
39	-77	604	453	65	0.0002375627	0
39	-97	720	540	44	0.0001131687	0
60	-95	604	453	49	0.0001790857	0
53	-8	479	720	79	0.0002290652	0
50	14	604	405	53	0.0002166626	0
44	7	604	339	19	9.27933735763543E-005	0
13	-2	720	480	53	0.0001533565	0
31	36	604	453	48	0.0001754309	0
42	-75	604	453	8	2.92384836922357E-005	0
38	-122	720	538	1	2.58157786038827E-006	0
22	-80	650	487	11	3.47496446059074E-005	0
27	-80	403	603	22	9.05316264006683E-005	0
37	-122	604	453	53	0.000193705	0
30	-98	720	482	65	0.0001872983	0
24	121	720	540	24	6.17283950617284E-005	1
46	2	604	453	84	0.0003070041	0
40	-75	404	604	7	2.8686643498787E-005	0
31	-92	604	453	57	0.0002083242	0
41	-73	404	604	35	0.0001434332	0
18	-67	344	545	6	3.20034136974611E-005	0
39	-9	604	498	4	1.32982260166494E-005	0
1	104	540	720	7	1.80041152263374E-005	0
41	-71	403	604	10	4.10826089099962E-005	0
22	114	604	453	49	0.0001790857	0
20	77	604	453	105	0.0003837551	0
34	-6	604	453	112	0.0004093388	1
44	-121	540	720	37	9.51646090534979E-005	0
23	-102	453	604	60	0.0002192886	1
23	-102	604	453	56	0.0002046694	0
23	-102	604	453	29	0.0001059895	1
38	-122	720	616	1	2.25468975468975E-006	1
47	8	604	453	21	0.000076751	1
23	-102	604	401	8	0.00003303	0
35	-84	604	453	32	0.0001169539	0
-10	-76	448	336	58	0.0003853104	1
48	-114	604	453	68	0.0002485271	0
46	2	604	453	7	2.55836732307063E-005	0
42	-75	300	296	122	0.0013738739	0
48	-92	604	453	4	1.46192418461179E-005	1
31	-92	537	720	3	7.75915580384854E-006	0
36	138	540	720	28	7.20164609053498E-005	0
43	-78	640	480	24	0.000078125	1
34	-84	604	453	63	0.0002302531	0
39	35	604	402	45	0.0001853316	1
30	-98	604	453	10	3.65481046152946E-005	0
-29	24	720	360	1	0.000003858	0
38	-119	453	604	9	3.28932941537652E-005	0
31	-92	720	540	52	0.0001337449	0
43	-89	720	540	4	1.02880658436214E-005	0
38	-122	320	240	17	0.0002213542	0
46	2	720	538	3	7.74473358116481E-006	0
8	-2	604	453	59	0.0002156338	0
-29	24	604	453	13	4.7512535999883E-005	0
38	-122	403	604	60	0.0002464957	0
42	-84	720	430	21	6.78294573643411E-005	0
31	-92	540	720	186	0.0004783951	0
40	-106	720	489	81	0.0002300613	0
31	-92	500	399	11	5.51378446115288E-005	0
46	16	604	404	27	0.0001106485	1
36	-119	540	720	4	1.02880658436214E-005	0
42	-75	720	720	49	9.45216049382716E-005	0
23	-102	453	604	23	8.40606406151777E-005	0
28	84	720	478	28	8.13575081357508E-005	1
33	-88	604	453	76	0.0002777656	0
38	-122	401	603	6	2.48135879207454E-005	0
19	-98	720	540	23	5.9156378600823E-005	0
41	-111	720	405	45	0.000154321	1
47	20	720	540	107	0.0002752058	1
39	-77	453	604	43	0.0001571568	0
54	-2	453	604	15	5.4822156922942E-005	0
42	-71	604	453	38	0.0001388828	0
36	138	720	537	37	9.5696254914132E-005	0
15	105	604	453	60	0.0002192886	0
31	-81	604	453	20	7.30962092305893E-005	0
34	-111	480	321	5	3.24506749740395E-005	0
32	-65	720	477	44	0.0001281155	1
35	-112	604	403	33	0.0001355726	1
36	138	604	453	50	0.0001827405	0
38	-97	540	720	154	0.0003960905	1
62	10	604	453	22	8.04058301536482E-005	0
33	-113	604	401	30	0.0001238625	0
41	-73	451	604	30	0.0001101305	0
41	-111	604	453	19	6.94413987690598E-005	0
39	35	453	604	8	2.92384836922357E-005	0
31	36	604	453	65	0.0002375627	0
13	105	720	540	25	6.43004115226337E-005	1
43	-85	604	453	39	0.0001425376	1
36	-120	453	604	21	0.000076751	0
42	-71	720	480	167	0.0004832176	0
62	10	720	481	3	8.66250866250866E-006	1
-34	-64	720	478	2	5.81125058112506E-006	1
-34	19	604	453	13	4.7512535999883E-005	0
36	138	453	604	57	0.0002083242	0
39	35	540	720	84	0.0002160494	0
-41	174	720	540	168	0.0004320988	0
43	13	528	400	17	8.04924242424242E-005	0
14	79	720	404	31	0.0001065732	0
47	-110	720	540	75	0.0001929012	0
39	22	600	402	50	0.0002072968	1
45	-69	720	480	4	1.15740740740741E-005	0
31	-92	500	375	69	0.000368	0
45	-93	720	540	34	8.74485596707819E-005	0
22	98	604	453	60	0.0002192886	0
18	-67	720	540	31	7.97325102880658E-005	1
48	12	453	604	20	7.30962092305893E-005	0
31	121	453	604	19	6.94413987690598E-005	0
37	-122	720	540	23	5.9156378600823E-005	0
22	114	604	453	18	6.57865883075304E-005	0
39	-105	720	646	1	0.00000215	0
37	-122	453	604	24	8.77154510767072E-005	0
21	-158	720	537	17	4.39685495551417E-005	1
44	-115	360	270	22	0.0002263374	1
39	35	604	453	17	6.21317778460009E-005	0
22	114	604	453	60	0.0002192886	0
41	2	604	453	31	0.0001132991	0
36	-79	604	453	10	3.65481046152946E-005	0
13	122	604	453	22	8.04058301536482E-005	1
47	8	720	540	35	9.00205761316872E-005	0
45	-93	537	720	84	0.0002172564	0
38	-122	360	504	60	0.0003306878	0
22	114	604	453	38	0.0001388828	1
48	-117	607	305	12	6.48175655602668E-005	0
-14	-72	453	604	20	7.30962092305893E-005	0
35	111	604	404	48	0.0001967084	1
60	-95	540	720	24	6.17283950617284E-005	0
23	114	604	604	28	0.000076751	1
45	-116	720	527	9	2.3719165085389E-005	0
-10	-55	720	537	16	4.13821642871922E-005	0
20	77	604	453	122	0.0004458869	0
41	-82	720	492	36	0.000101626	0
-10	-76	604	453	56	0.0002046694	1
33	-117	453	604	38	0.0001388828	1
-21	56	496	381	29	0.0001534586	0
48	-123	720	478	16	0.00004649	0
13	145	720	540	127	0.0003266461	0
-10	-55	604	453	42	0.000153502	0
41	-71	720	540	28	7.20164609053498E-005	0
34	-119	144	168	38	0.0015707672	0
42	44	604	453	56	0.0002046694	0
13	-85	604	453	60	0.0002192886	1
33	-112	604	402	23	9.47250502454614E-005	0
31	-92	604	391	57	0.0002413577	0
30	-90	537	720	4	1.03455410717981E-005	0
33	-80	604	339	25	0.0001220965	0
38	-122	400	240	2	2.08333333333333E-005	0
43	13	453	604	16	0.000058477	1
22	114	720	520	8	2.13675213675214E-005	0
42	-75	403	604	49	0.0002013048	0
25	45	604	451	45	0.0001651958	1
24	121	604	453	45	0.0001644665	0
53	13	604	403	20	8.21652178199924E-005	0
1	104	720	537	15	3.87957790192427E-005	1
41	-73	400	604	12	4.96688741721854E-005	0
39	-77	604	403	8	3.2866087127997E-005	0
43	13	604	340	19	9.2520451889365E-005	0
33	-96	604	453	14	5.11673464614125E-005	0
38	-122	453	604	10	3.65481046152946E-005	1
42	-88	453	604	14	5.11673464614125E-005	0
40	-4	720	480	99	0.0002864583	0
-33	-56	453	604	37	0.000135228	0
46	2	604	453	77	0.0002814204	1
45	-69	720	540	135	0.0003472222	0
31	-92	464	640	27	9.09213362068966E-005	0
33	-87	604	453	6	2.19288627691768E-005	0
20	77	604	453	18	6.57865883075304E-005	1
46	2	604	453	26	9.50250719997661E-005	0
36	-87	604	452	20	7.32579265076481E-005	0
42	-86	720	478	23	6.68293816829382E-005	1
43	13	604	453	34	0.0001242636	0
35	105	185	261	9	0.0001863933	0
40	-8	720	540	23	5.9156378600823E-005	0
47	-110	540	720	10	2.57201646090535E-005	1
37	-122	720	540	36	9.25925925925926E-005	0
38	-122	720	540	6	1.54320987654321E-005	0
38	-123	604	453	60	0.0002192886	0
20	77	604	453	67	0.0002448723	1
32	35	720	540	26	6.68724279835391E-005	0
36	138	720	480	7	2.02546296296296E-005	1
-34	-64	480	360	60	0.0003472222	1
43	-78	483	604	122	0.000418192	0
31	-98	604	402	13	5.3540245790913E-005	0
18	-67	720	480	99	0.0002864583	1
37	-122	720	540	20	5.1440329218107E-005	0
59	-135	604	339	12	5.86063412061185E-005	1
45	9	720	540	47	0.0001208848	1
30	-82	720	540	9	2.31481481481481E-005	0
39	35	720	537	94	0.0002431202	0
53	-8	604	453	114	0.0004166484	0
39	-110	320	240	15	0.0001953125	1
46	2	338	450	25	0.0001643655	1
38	-123	448	604	11	4.06516083254494E-005	0
42	-84	604	425	1	3.89559797428905E-006	0
34	-120	720	540	16	4.11522633744856E-005	0
46	2	604	402	99	0.0004077296	1
38	-122	720	404	2	6.87568756875688E-006	0
39	35	604	453	7	2.55836732307063E-005	0
42	24	720	537	98	0.0002534658	0
-21	56	604	482	8	2.74793218103377E-005	0
40	-4	604	453	3	1.09644313845884E-005	0
52	0	604	453	36	0.0001315732	0
21	-106	604	453	32	0.0001169539	1
38	-77	604	382	6	2.60046461634479E-005	0
38	-123	540	720	22	5.65843621399177E-005	0
13	122	720	480	8	2.31481481481481E-005	0
54	-2	536	720	13	3.36857379767827E-005	0
37	-122	405	720	137	0.0004698217	0
37	-6	604	453	32	0.0001169539	1
54	-167	604	453	14	5.11673464614125E-005	1
51	4	604	453	5	1.82740523076473E-005	1
19	73	401	592	7	2.94870930781155E-005	0
42	-88	604	453	20	7.30962092305893E-005	1
24	-76	720	537	41	0.0001060418	1
37	-121	642	720	11	2.37971616476289E-005	0
30	-90	480	640	66	0.0002148438	0
40	-77	604	453	16	0.000058477	0
42	-88	604	428	1	3.86829238101133E-006	0
46	9	540	720	19	4.88683127572016E-005	1
8	38	604	453	15	5.4822156922942E-005	0
34	-82	720	540	19	4.88683127572016E-005	0
30	-90	720	616	143	0.0003224206	0
39	-77	604	453	4	1.46192418461179E-005	0
20	77	540	720	40	0.0001028807	0
35	-120	515	720	16	4.31499460625674E-005	0
-10	-76	453	592	13	4.84756279458266E-005	1
34	-118	604	453	22	8.04058301536482E-005	0
15	100	604	453	40	0.0001461924	1
35	-112	403	604	105	0.0004313674	0
54	-2	453	604	44	0.0001608117	1
51	9	604	436	1	3.79731453915791E-006	0
53	-8	404	380	8	5.21104742053153E-005	0
-29	24	201	290	1	1.71556013038257E-005	0
34	-84	720	540	14	3.60082304526749E-005	0
43	11	453	604	16	0.000058477	0
42	-88	453	604	31	0.0001132991	0
37	-122	604	406	15	6.11685642514599E-005	0
45	-116	604	453	32	0.0001169539	0
-29	24	480	640	4	1.30208333333333E-005	0
-21	56	604	453	1	3.65481046152947E-006	0
39	22	453	604	20	7.30962092305893E-005	1
47	8	604	453	30	0.0001096443	0
37	-122	453	604	39	0.0001425376	0
38	-122	453	604	29	0.0001059895	1
38	-122	453	604	19	6.94413987690598E-005	0
-21	56	540	720	7	1.80041152263374E-005	0
42	-123	404	720	52	0.0001787679	0
35	105	604	453	25	9.13702615382366E-005	0
-41	174	720	540	80	0.0002057613	1
54	-2	528	511	66	0.0002446184	0
47	-110	720	540	43	0.0001105967	0
39	-77	540	720	81	0.0002083333	0
35	-83	720	540	87	0.0002237654	0
33	-97	604	452	52	0.0001904706	0
31	-92	604	453	50	0.0001827405	0
49	2	326	245	48	0.0006009766	1
42	-88	453	604	39	0.0001425376	0
33	-97	604	453	50	0.0001827405	0
45	-93	604	452	18	6.59321338568833E-005	0
38	-122	255	380	4	4.12796697626419E-005	0
36	-120	479	720	8	2.31964741359313E-005	0
41	-82	480	640	49	0.0001595052	0
47	8	720	597	62	0.0001442397	1
10	-76	604	453	60	0.0002192886	0
1	32	604	453	31	0.0001132991	1
35	105	453	604	39	0.0001425376	0
29	-81	604	453	26	9.50250719997661E-005	0
36	138	720	540	105	0.0002700617	0
41	-74	403	604	20	8.21652178199924E-005	0
24	121	537	720	2	5.17277053589903E-006	0
19	-72	260	190	18	0.0003643725	0
27	-82	720	540	1	0.000002572	0
23	-102	720	482	78	0.000224758	0
-21	56	720	540	100	0.0002572016	0
-30	-71	537	720	39	0.000100869	0
42	44	604	453	64	0.0002339079	0
-30	-71	604	340	43	0.0002093884	1
35	105	604	453	55	0.0002010146	0
34	-118	402	604	94	0.0003871372	0
40	-89	720	540	60	0.000154321	1
42	-87	540	720	126	0.0003240741	0
43	-2	537	720	90	0.0002327747	0
22	114	604	453	65	0.0002375627	0
9	-80	604	453	57	0.0002083242	0
17	-90	720	540	1	0.000002572	0
43	13	604	453	27	9.86798824612955E-005	1
42	-88	384	512	29	0.0001475016	0
28	-82	453	604	36	0.0001315732	0
52	0	604	453	11	4.02029150768241E-005	1
31	36	604	453	25	9.13702615382366E-005	0
37	-122	604	453	25	9.13702615382366E-005	0
34	-118	720	540	13	3.34362139917695E-005	0
38	-123	604	453	9	3.28932941537652E-005	0
49	-123	453	604	57	0.0002083242	0
35	105	604	453	6	2.19288627691768E-005	0
-20	30	720	511	74	0.0002011307	1
23	-102	453	604	9	3.28932941537652E-005	1
44	12	720	540	21	5.40123456790123E-005	1
35	105	720	540	11	2.82921810699588E-005	0
14	-86	604	415	45	0.0001795261	0
15	19	604	403	133	0.0005463987	0
42	-86	540	720	9	2.31481481481481E-005	0
39	-77	604	451	23	8.44334150746685E-005	1
-6	39	720	480	17	4.91898148148148E-005	1
26	-80	453	604	19	6.94413987690598E-005	1
28	-82	720	540	68	0.0001748971	0
35	-120	720	482	89	0.0002564546	0
54	-2	400	300	22	0.0001833333	0
52	17	387	604	23	9.83965638208669E-005	0
51	9	604	453	13	4.7512535999883E-005	1
35	105	604	400	60	0.0002483444	1
42	-71	604	453	10	3.65481046152946E-005	0
41	-75	604	431	20	7.68273382400393E-005	0
30	-90	455	720	29	8.85225885225885E-005	0
23	-102	581	720	83	0.0001984127	0
39	-85	604	453	18	6.57865883075304E-005	0
53	-8	537	720	2	5.17277053589903E-006	0
39	-95	720	540	3	0.000007716	0
48	-122	604	453	60	0.0002192886	0
46	2	453	604	47	0.0001717761	0
24	121	604	454	50	0.000182338	0
-29	24	604	403	57	0.0002341709	0
33	-80	720	540	53	0.0001363169	0
48	16	720	540	110	0.0002829218	0
42	-71	604	453	34	0.0001242636	0
41	-73	604	453	24	8.77154510767072E-005	0
60	100	720	540	12	3.08641975308642E-005	0
38	-97	500	375	14	7.46666666666667E-005	0
28	-80	720	480	3	8.68055555555556E-006	0
13	80	604	453	28	0.0001023347	1
31	-92	604	453	40	0.0001461924	0
18	-95	604	453	13	4.7512535999883E-005	0
36	-120	720	540	16	4.11522633744856E-005	0
47	-120	540	720	90	0.0002314815	1
-10	-55	448	604	173	0.0006393389	1
-30	-71	604	402	10	4.11848044545484E-005	0
36	-122	720	540	2	0.000005144	0
44	-115	720	443	20	6.27037873087534E-005	0
43	13	540	720	200	0.0005144033	1
-21	56	604	404	1	4.09809192839814E-006	0
15	19	604	453	20	7.30962092305893E-005	0
20	77	604	453	90	0.0003289329	0
46	2	640	480	100	0.0003255208	0
25	122	720	540	25	6.43004115226337E-005	0
60	-95	604	453	59	0.0002156338	0
52	0	604	453	100	0.000365481	0
-5	120	453	604	172	0.0006286274	0
43	-76	553	720	3	7.53465943339361E-006	0
43	-78	453	604	21	0.000076751	0
31	36	720	540	36	9.25925925925926E-005	0
20	77	402	604	200	0.0008236961	1
40	-4	453	604	49	0.0001790857	0
28	85	700	465	17	5.22273425499232E-005	1
49	2	453	604	59	0.0002156338	0
40	-105	604	453	8	2.92384836922357E-005	0
48	-122	604	432	28	0.0001073093	1
-34	-64	453	604	15	5.4822156922942E-005	0
42	-71	604	453	59	0.0002156338	0
-3	38	604	255	61	0.0003960525	1
39	22	604	453	60	0.0002192886	1
44	7	720	538	13	3.35605121850475E-005	0
42	-75	537	720	43	0.0001112146	0
37	-122	538	720	7	0.000018071	0
42	-71	430	720	100	0.0003229974	0
-34	151	604	453	26	9.50250719997661E-005	0
1	38	540	720	4	1.02880658436214E-005	1
39	-77	604	404	40	0.0001639237	1
51	9	720	540	62	0.000159465	1
-21	56	720	540	20	5.1440329218107E-005	0
23	-102	720	506	12	3.29380764163373E-005	0
38	-97	604	453	36	0.0001315732	0
43	13	537	720	9	2.32774674115456E-005	1
1	32	403	604	34	0.0001396809	1
40	-105	604	401	5	2.06437548512824E-005	0
-27	133	453	604	25	9.13702615382366E-005	1
33	-97	719	478	5	1.45483324701323E-005	0
37	-122	604	453	9	3.28932941537652E-005	0
38	-122	604	401	16	0.00006606	1
43	-78	604	453	5	1.82740523076473E-005	0
42	-75	667	713	20	4.20547089709002E-005	0
36	-122	402	604	14	5.76587262363678E-005	1
28	84	480	720	27	0.000078125	0
32	-92	480	360	18	0.0001041667	0
43	-78	453	604	24	8.77154510767072E-005	1
36	-122	604	453	35	0.0001279184	0
-8	110	604	453	28	0.0001023347	0
42	-73	453	604	10	3.65481046152946E-005	0
34	-117	453	604	54	0.0001973598	0
35	-81	604	456	4	1.4523062623446E-005	0
38	-122	604	453	50	0.0001827405	0
39	-95	270	360	60	0.000617284	0
15	100	453	604	36	0.0001315732	1
44	-70	604	453	4	1.46192418461179E-005	0
38	-122	404	604	42	0.0001721199	0
38	-122	404	604	42	0.0001721199	0
23	-102	540	720	43	0.0001105967	0
31	-92	720	537	100	0.0002586385	0
31	-92	604	453	5	1.82740523076473E-005	0
31	-92	509	604	53	0.0001723936	0
38	-122	720	540	14	3.60082304526749E-005	0
-29	24	720	480	162	0.00046875	1
31	-92	604	518	50	0.0001598098	0
30	-98	720	540	30	7.71604938271605E-005	0
38	-122	720	540	151	0.0003883745	1
20	77	604	453	34	0.0001242636	1
17	-89	720	540	22	5.65843621399177E-005	0
32	-5	540	720	47	0.0001208848	0
51	3	604	453	26	9.50250719997661E-005	1
44	-121	604	453	69	0.0002521819	0
26	-80	604	453	29	0.0001059895	0
54	-2	604	406	10	0.000040779	0
-34	18	403	604	35	0.0001437891	0
48	-122	539	720	100	0.0002576788	0
34	-118	604	453	3	1.09644313845884E-005	0
40	-105	479	720	8	2.31964741359313E-005	0
42	-75	453	604	3	1.09644313845884E-005	0
37	-122	604	453	13	4.7512535999883E-005	0
44	-92	360	270	52	0.0005349794	1
42	-71	720	540	35	9.00205761316872E-005	0
54	-2	604	453	8	2.92384836922357E-005	1
42	-71	604	432	16	6.13195977434388E-005	0
39	-105	360	270	30	0.000308642	0
39	-124	537	320	25	0.0001454842	1
42	-75	604	453	12	4.38577255383536E-005	0
8	1	478	720	51	0.0001481869	0
34	-118	340	604	37	0.0001801714	0
29	-81	604	453	105	0.0003837551	0
41	-123	604	453	74	0.000270456	1
3	113	604	453	55	0.0002010146	0
26	-80	604	453	17	6.21317778460009E-005	0
38	-122	720	540	3	0.000007716	1
33	65	720	540	43	0.0001105967	0
36	138	604	453	187	0.0006834496	1
43	13	604	453	101	0.0003691359	0
32	35	720	538	10	2.58157786038827E-005	1
33	-97	399	300	64	0.00053467	0
39	-76	604	453	19	6.94413987690598E-005	0
38	-97	453	604	4	1.46192418461179E-005	0
41	-96	201	310	17	0.0002728294	1
51	4	720	540	13	3.34362139917695E-005	1
6	12	604	453	60	0.0002192886	1
42	-71	604	453	4	1.46192418461179E-005	0
31	-92	604	339	37	0.0001807029	0
22	114	604	340	60	0.0002921698	1
36	140	612	612	3	8.00973984364988E-006	1
-34	-64	604	562	22	6.48111050882609E-005	0
41	-111	604	453	14	5.11673464614125E-005	1
36	138	604	453	45	0.0001644665	0
44	-85	604	403	19	0.000078057	1
